indiv;ref;climate;genotype;Ptot_25;Ptot_30;P300_25;P300_30;P600_25;P600_30;P1000_25;P1000_30;harvest_25;harvest_30;seed_yield;seed_nb;PMG;lipids;proteins
135;DIJ17;semi-continental dégradé;Alpaga;32;10;0;0;3;0;10;0;20;10;50,06;;;49,5;20,1
136;DIJ17;semi-continental dégradé;Alpaga;32;10;0;0;3;0;10;0;20;10;42,75;;;53,6;15,2
137;VER17;océanique;Alpaga;24;4;0;0;1;0;8;0;15;4;24,03;;;44,4;17
138;VER17;océanique;Alpaga;24;4;0;0;1;0;8;0;15;4;28,05;;;42,8;18,8
139;VER17;océanique;Alpaga;24;4;0;0;1;0;8;0;15;4;20,72;;;43,7;18
140;VER17;océanique;Alpaga;24;4;0;0;1;0;8;0;15;4;26,26;;;44;17,8
141;BLO18;océanique dégradé;Aviso;24;2;4;0;2;0;6;0;12;2;37,76;;5;46,1;20,5
142;BLO18;océanique dégradé;Aviso;24;2;4;0;2;0;6;0;12;2;37,8;;4,5;46,2;19,9
143;BLO18;océanique dégradé;Montego;24;2;4;0;2;0;5;0;14;2;24,98;;4;49;18,6
144;BLO18;océanique dégradé;Montego;24;2;4;0;2;0;5;0;14;2;27,3;;4;47,9;19,7
145;CH218;océanique dégradé;Aviso;27;0;2;0;3;0;2;0;20;0;30,11;;;45,4;15,9
146;CH218;océanique dégradé;Aviso;27;0;2;0;3;0;2;0;20;0;27,71;;;44,9;16,1
147;CH218;océanique dégradé;Montego;27;0;2;0;3;0;2;0;20;0;28,17;;;45,2;16,5
148;CH218;océanique dégradé;Montego;27;0;2;0;3;0;2;0;20;0;32,26;;;44,7;16,7
149;CHR18;océanique dégradé;Aviso;27;0;2;0;3;0;2;0;20;0;43,57;;;45,7;15,5
150;CHR18;océanique dégradé;Aviso;27;0;2;0;3;0;2;0;20;0;47,62;;;43,6;17,3
151;CHR18;océanique dégradé;Montego;27;0;2;0;3;0;2;0;20;0;38,28;;;44,1;17,8
152;CHR18;océanique dégradé;Montego;27;0;2;0;3;0;2;0;20;0;34,21;;;42,9;18,4
153;CV18;océanique dégradé;Aviso;21;0;2;0;3;0;2;0;14;0;32,55;;4,19;46,96;19,19
154;CV18;océanique dégradé;Aviso;21;0;2;0;3;0;2;0;14;0;27,15;;4,07;47,94;18,33
155;CV18;océanique dégradé;Montego;21;0;2;0;3;0;2;0;14;0;22,34;;3,94;46,65;20,93
156;CV18;océanique dégradé;Montego;21;0;2;0;3;0;2;0;14;0;24,82;;4,14;48,02;19,48
157;LIV18;océanique dégradé;Aviso;21;2;3;0;1;0;4;0;13;2;28,5;;4,33;47,93;18,8
158;LIV18;océanique dégradé;Aviso;21;2;3;0;1;0;4;0;13;2;28,78;;4,44;47,47;18,61
159;LIV18;océanique dégradé;Montego;21;2;3;0;1;0;4;0;13;2;25,52;;4,87;47,84;20,17
160;LIV18;océanique dégradé;Montego;21;2;3;0;1;0;4;0;13;2;27,19;;4,38;47,77;19,12
161;LOU18;océanique dégradé;Aviso;21;0;4;0;3;0;2;0;14;0;38,78;;;50,4;16,9
162;LOU18;océanique dégradé;Aviso;21;0;4;0;3;0;2;0;14;0;43,1;;;52,2;16,7
163;LOU18;océanique dégradé;Montego;21;0;2;0;3;0;2;0;14;0;29,72;;;49,9;19,2
164;LOU18;océanique dégradé;Montego;21;0;2;0;3;0;2;0;14;0;30,66;;;50,4;19,1
165;LR18;océanique;Aviso;16;1;0;0;2;0;2;0;12;1;24,27;;;;
166;LR18;océanique;Aviso;16;1;0;0;2;0;2;0;12;1;22,51;;;;
167;LR18;océanique;Aviso;16;1;0;0;2;0;2;0;12;1;22,35;;;;
168;LR18;océanique;Montego;16;1;1;0;1;0;2;0;12;1;28,27;;;;
169;LR18;océanique;Montego;16;1;1;0;1;0;2;0;12;1;26,78;;;;
170;LR18;océanique;Montego;16;1;1;0;1;0;2;0;12;1;25,15;;;;
