# Database file name:              C:/Users/USER/Documents/TRAVAIL/3A/stage3a/codes_sources/coron-0.8/rapsodynCoron_v1.rcf
# Database file size:              12,911 bytes
# Number of lines:                 170
# Total number of attributes:      33
# Number of non empty attributes:  33
# Number of attributes in average: 14,4
# Density:                         43,64 %
# min_supp:                        51, i.e. 30 %
# min_conf:                        60 %
# Chosen algorithm:                Close
# Rules to extract:                closed association rules

{8, 12, 14, 16, 18, 20} => {4} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=107 [62.94%]; class=FF)
{4, 12, 14, 16, 18, 20} => {8} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=89 [52.35%]; class=FF)
{4, 8, 14, 16, 18, 20} => {12} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=114 [67.06%]; class=FF)
{4, 8, 12, 16, 18, 20} => {14} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=102 [60.00%]; class=FF)
{4, 8, 12, 14, 18, 20} => {16} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=111 [65.29%]; class=FF)
{4, 8, 12, 14, 16, 20} => {18} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=148 [87.06%]; class=FF)
{4, 8, 12, 14, 16, 18} => {20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=101 [59.41%]; class=FF)
{12, 14, 16, 18, 20} => {4, 8} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=89 [52.35%]; class=FF)
{8, 14, 16, 18, 20} => {4, 12} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=95 [55.88%]; class=FF)
{8, 12, 16, 18, 20} => {4, 14} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=79 [46.47%]; class=FF)
{8, 12, 14, 18, 20} => {4, 16} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=95 [55.88%]; class=FF)
{8, 12, 14, 16, 20} => {4, 18} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=99 [58.24%]; class=FF)
{8, 12, 14, 16, 18} => {4, 20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=85 [50.00%]; class=FF)
{4, 14, 16, 18, 20} => {8, 12} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=80 [47.06%]; class=FF)
{4, 12, 16, 18, 20} => {8, 14} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=71 [41.76%]; class=FF)
{4, 12, 14, 18, 20} => {8, 16} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=89 [52.35%]; class=FF)
{4, 12, 14, 16, 20} => {8, 18} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=89 [52.35%]; class=FF)
{4, 12, 14, 16, 18} => {8, 20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=85 [50.00%]; class=FF)
{4, 8, 16, 18, 20} => {12, 14} (supp=58 [34.12%]; conf=0.682 [68.24%]; suppL=85 [50.00%]; suppR=79 [46.47%]; class=FF)
{4, 8, 14, 18, 20} => {12, 16} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=83 [48.82%]; class=FF)
{4, 8, 14, 16, 20} => {12, 18} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=102 [60.00%]; class=FF)
{4, 8, 14, 16, 18} => {12, 20} (supp=58 [34.12%]; conf=0.817 [81.69%]; suppL=71 [41.76%]; suppR=80 [47.06%]; class=FF)
{4, 8, 12, 18, 20} => {14, 16} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=71 [41.76%]; class=FF)
{4, 8, 12, 16, 20} => {14, 18} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=88 [51.76%]; class=FF)
{4, 8, 12, 16, 18} => {14, 20} (supp=58 [34.12%]; conf=0.725 [72.50%]; suppL=80 [47.06%]; suppR=83 [48.82%]; class=FF)
{4, 8, 12, 14, 20} => {16, 18} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=111 [65.29%]; class=FF)
{4, 8, 12, 14, 18} => {16, 20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=85 [50.00%]; class=FF)
{4, 8, 12, 14, 16} => {18, 20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=95 [55.88%]; class=FF)
{14, 16, 18, 20} => {4, 8, 12} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=80 [47.06%]; class=FF)
{12, 16, 18, 20} => {4, 8, 14} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=71 [41.76%]; class=FF)
{12, 14, 18, 20} => {4, 8, 16} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=89 [52.35%]; class=FF)
{12, 14, 16, 20} => {4, 8, 18} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=89 [52.35%]; class=FF)
{12, 14, 16, 18} => {4, 8, 20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=85 [50.00%]; class=FF)
{8, 16, 18, 20} => {4, 12, 14} (supp=58 [34.12%]; conf=0.682 [68.24%]; suppL=85 [50.00%]; suppR=70 [41.18%]; class=FF)
{8, 14, 18, 20} => {4, 12, 16} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=83 [48.82%]; class=FF)
{8, 14, 16, 20} => {4, 12, 18} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=87 [51.18%]; class=FF)
{8, 14, 16, 18} => {4, 12, 20} (supp=58 [34.12%]; conf=0.817 [81.69%]; suppL=71 [41.76%]; suppR=76 [44.71%]; class=FF)
{8, 12, 18, 20} => {4, 14, 16} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=71 [41.76%]; class=FF)
{8, 12, 16, 20} => {4, 14, 18} (supp=58 [34.12%]; conf=0.763 [76.32%]; suppL=76 [44.71%]; suppR=71 [41.76%]; class=FF)
{8, 12, 16, 18} => {4, 14, 20} (supp=58 [34.12%]; conf=0.725 [72.50%]; suppL=80 [47.06%]; suppR=67 [39.41%]; class=FF)
{8, 12, 14, 20} => {4, 16, 18} (supp=58 [34.12%]; conf=1.000 [100.00%]; suppL=58 [34.12%]; suppR=95 [55.88%]; class=FF)
{8, 12, 14, 18} => {4, 16, 20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=85 [50.00%]; class=FF)
{8, 12, 14, 16} => {4, 18, 20} (supp=58 [34.12%]; conf=0.935 [93.55%]; suppL=62 [36.47%]; suppR=85 [50.00%]; class=FF)
{4, 16, 18, 20} => {8, 12, 14} (supp=58 [34.12%]; conf=0.682 [68.24%]; suppL=85 [50.00%]; suppR=62 [36.47%]; class=FF)
{4, 14, 18, 20} => {8, 12, 16} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=80 [47.06%]; class=FF)
{4, 14, 16, 20} => {8, 12, 18} (supp=58 [34.12%]; conf=0.866 [86.57%]; suppL=67 [39.41%]; suppR=80 [47.06%]; class=FF)
