,climate,genotype,Ptot_>20,Ptot_20-25,Ptot_>25,Ptot_25-30,Ptot_>30,Ptot_<5,P300_>20,P300_20-25,P300_>25,P300_25-30,P300_<5,P600_>20,P600_20-25,P600_>25,P600_25-30,P600_<5,P1000_>20,P1000_20-25,P1000_>25,P1000_25-30,P1000_>30,Pharv_>20,Pharv_20-25,Pharv_>25,Pharv_25-30,Pharvt_>30,seed_yield,seed_nb,PMG,lipids,proteins
63,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,37.45,86172.67,4.35,50.48,19.35
64,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,35.0,81681.59,4.28,49.92,19.4
65,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,41.57,95678.69,4.34,50.32,19.63
66,0,1,29.0,19.0,10.0,8.0,2.0,18.0,4.0,4.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,0.0,17.0,9.0,8.0,6.0,2.0,27.48,69542.15,3.95,51.2,19.01
67,1,0,32.0,21.0,11.0,11.0,0.0,10.0,2.0,2.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,1.0,12.0,6.0,6.0,6.0,0.0,17.0,11.0,6.0,6.0,0.0,26.27,59702.0,4.4,48.4,18.6
68,1,0,32.0,21.0,11.0,11.0,0.0,10.0,2.0,2.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,1.0,12.0,6.0,6.0,6.0,0.0,17.0,11.0,6.0,6.0,0.0,32.7,66736.0,4.9,48.6,18.8
69,1,1,32.0,21.0,11.0,11.0,0.0,17.0,2.0,2.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,4.0,10.0,6.0,4.0,4.0,0.0,20.0,12.0,8.0,8.0,0.0,28.6,66511.0,4.3,50.9,17.7
70,1,1,32.0,21.0,11.0,11.0,0.0,17.0,2.0,2.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,4.0,10.0,6.0,4.0,4.0,0.0,20.0,12.0,8.0,8.0,0.0,30.12,68452.0,4.4,49.8,18.3
71,0,0,42.0,32.0,10.0,9.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,28.0,19.0,9.0,8.0,1.0,25.57,54414.0,4.7,50.2,20.9
72,0,0,42.0,32.0,10.0,9.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,28.0,19.0,9.0,8.0,1.0,21.13,45935.0,4.6,49.3,21.3
73,0,1,42.0,32.0,10.0,9.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,10.0,9.0,1.0,1.0,0.0,28.0,19.0,9.0,8.0,1.0,23.03,56178.0,4.1,49.5,21.9
74,0,0,30.0,24.0,6.0,5.0,1.0,8.0,1.0,1.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,18.0,14.0,4.0,3.0,1.0,34.87,72656.0,4.8,46.5,14.4
75,0,0,30.0,24.0,6.0,5.0,1.0,8.0,1.0,1.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,18.0,14.0,4.0,3.0,1.0,32.86,69911.0,4.7,46.5,14.2
76,0,1,31.0,25.0,6.0,5.0,1.0,8.0,2.0,2.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,18.0,14.0,4.0,3.0,1.0,36.69,85328.0,4.3,47.0,14.1
